Company Name,Job Summary,Job Title,Location,Salary
United Airlines,"Now taking off: Your career Where do you want your career to take you? Chances are you can get there with United Airlines. Our environment is open, honest,...",Senior Analyst - Statistics and Operations Research,Chicago,L
North Park University,"Serve as EM&M Data Steward, providing direction on data collection, maintenance and assurance, creating data dictionary of all student related data points for...",Enrollment Research & Data Analyst,Chicago,L
Northwestern University,"Critical thinking, business intelligence application design, data mining, data modeling, data warehouse design/develop, database design/ data structure,...",Statistical Analyst Senior,Chicago,L
Kaplan,Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...,Senior Data Scientist,Chicago,L
Workbridge Associates,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,Data Scientist,Chicago,L
National Opinion Research Center (NORC),Assisting with the design of experiments and other methodological research for data collection efforts;...,Research Scientist,Chicago,L
Raise Marketplace Inc.,"Knowledge of data warehouse, data model design and implementation. Pull reports and model data from Raise’s customized BI platform and data warehouse....",Data Analyst,Chicago,L
National Futures Association,Objectives include implementing methods that facilitate the correct reporting of data by Market Regulation clients as well as different ways to utilize this...,Quantitative Analyst,Chicago,L
University of Chicago,"Enter and organize participant data. Prepare and submit regular, organized reports detailing recruitment, scheduling, data collection, protocol deviations....",Research Support Assistant,Chicago,L
"Technomic, Inc.","Creates syndicated reports that illustrate key data points and provides clear, concise editorial that explains and adds insight to the data....",Research Analyst (Syndicated Consumer),Chicago,L
National Opinion Research Center (NORC),Knowledge of quantitative methods of social science data analysis. Knowledge of weighting of various sampling and data collection designs....,Statistician,Chicago,L
University of Chicago,The Genomic Data Commons (GDC) is a comprehensive computational facility to centralize and harmonize cancer genomic data generated from NCI-funded programs....,Scientific Support Analyst,Chicago,L
Hyatt,At least 3 years of professional experience as a Data Scientist. The Data Scientist – Analytics will join a team that is on an upward trajectory to enhance...,Data Scientist – Analytics,Chicago,L
Kemper Corporation,The Kemper Services Group is seeking more Data Scientists for our team. Ability to work with various data formats – from delimited text files to ODBC...,Data Scientist consultant,Chicago,L
National Opinion Research Center (NORC),Developing instrumentation for quantitative or qualitative data collection; Quantitative analysis experience including working knowledge of SAS (or other...,Research Analyst - Health Care Research,Chicago,L
"The Smart Cube, Chicago",The Smart Cube’s Chicago office is looking for an analyst to work with global clients who will be responsible for the end-to-end management of research,Analyst - Strategy and Procurement Research,Chicago,L
The Nerdery,"Experience with Machine Learning algorithms, Data Mining techniques, Data Munging. About the Data Services Team....",Data Scientist: Chicago,Chicago,L
OtterBase,"Gather information on current business challenges in order to inform research projects, define data sources or methodology required to collect and analyze data....",Market Research Analyst,Chicago,L
Deloitte,"Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology....",Big Data Senior Consultant,Chicago,L
Marquette Associates Inc,Summary: The role of the Research Analyst is to conduct macroeconomic research and investment manager due diligence on alternative investments. The duties,Research Analyst,Chicago,L
Epsilon,Analyzing raw source data and derived data; Experience with large data sets. Epsilon is an Alliance Data company....,Data Scientist,Chicago,L
"Eldorado Trading, LLC","Market Data and Order Management System Experience preferred. Solid with data structures, STL algorithms, C++ templates and some experience with system...",Quantitative Analyst Intern,Chicago,L
Northwestern University,"Designs and prepares documentation for data management and/or data analyses. Designs and writes programs for data entry, data editing, data management, periodic...",Senior Statistical Analyst,Chicago,L
Allstate Insurance,Manages data and data requests to improve the accuracy of our data and decisions made from data analysis. The Data Scientist family is accountable for using...,Senior Telematics Data Scientist,Chicago,L
Harrison Street Real Estate Capital,Author or assist in quarterly research reports for each Harrison Street sector providing current performance data and the Harrison Street investment outlook for...,Research Analyst,Chicago,L
KPMG,"Five years of professional experience working as a Data Scientist. We are currently seeking a Data Scientist, to join our data analytics team in our Chicago...",Data Scientist,Chicago,L
BMO Financial Group,"Data processing and reconciliation. Data warehousing, cubing, multi-dimensional analysis. Data flow analysis (ERDs, Mapping, Tracing, etc.)....",Data Analysis Auditor,Chicago,L
LoyaltyOne,The Data Scientist will provide process execution support for client projects. Take analytical objectives and define data requirements....,Data Scientist - P,Chicago,L
University of Chicago,"Staff Scientist - Shuman Lab:. Prepares presentation materials derived from experiments and data analysis. Plans, executes, facilitates and promotes advanced...",Staff Scientist - Shuman Lab,Chicago,L
Morningstar,"The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, along with real...",Manager Research Analyst,Chicago,L
CCC Information Services Inc.,"Director, Data Science. On the very left hand side, the data scientist takes any kind of data and structures it into clean and readable form....","Director, Data Science",Chicago,L
United Airlines,Senior Scientist - Enterprise Optimization. Knowledge of United/Industry data sources preferred. Now taking off:....,Senior Scientist - Enterprise Optimization,Chicago,L
"Aperture Group, LLC","Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with...",Quantitative Analyst,Chicago,L
GinasTechJobs.com,Quantitative Research Analyst Looking for candidates from top tier computer science universities with a strong GPA. Bachelor’s and/or Master’s degree from a,Junior Quantitative Research Analyst,Chicago,L
Smith Hanley Associates,Analyze and mine large data sets as well as perform data management and data visualization tasks. Partner with cross-functional teams and drive data driven...,Statistical Analyst,Chicago,L
University of Chicago,"Knowledge of computational tools for analysis and visual presentation of next generation sequencing data, major microarrays platforms and proteomics data...",Staff Scientist,Chicago,L
General Assembly,"Data visualization techniques; Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of the newest generation of data...",Part-time Data Science Instructor,Chicago,L
Next Step Systems,"Analyze financial market data to identify patterns and potential problems. Chicago IL Jobs, Junior Quantitative Research Analyst, C++, Math, Financial, Chicago...",Junior Quantitative Research Analyst,Chicago,L
Technocraft solutions LLc,Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....,Data Scientist (USC/GC only),Chicago,L
"Vail Systems, Inc.","Senior Speech Scientist. We are actively recruiting for a senior speech scientist to work on directed dialog, conversational speech and natural language...",Senior Speech Scientist,Chicago,L
TMP WORLDWIDE,"The Digital Media Strategist bridges the gap between data and meaning. Critical thinker who can present complex concepts, media recommendations and data results...",Digital Media Strategist,Chicago,L
Catalina Marketing,The data scientist Senior Analyst should also be aware of data analysis and predictive modeling best practices and drive innovation in these areas within...,"Senior Analyst, Data Science",Chicago,L
Civis Analytics,"With a specialization in unstructured data, this Data Scientist role will apply techniques from fields such as machine learning, applied statistics, natural...",Data Scientist - Unstructured Data,Chicago,L
Hillshire Brands,"Product Development Scientist I - Aidells. This includes planning, executing experiments, analyzing data, reporting results....",Product Development Scientist I - Aidells,Chicago,L
West Monroe Partners,"HBase, Cassandra, Accumulo, Mongo, Neo4j, etc. Experience with ETL, data warehouse and reporting a plus Experience with data visualizations Experience with...",Lead Data Scientist,Chicago,L
Ipsos North America,"Experience working with data packages such as SPSS or SAS a plus. Ideally, review survey data and conduct analyses as needed (using SAS or SPSS)....",USPA - Summer Intern,Chicago,L
Precima,The Data Scientist will provide process execution support for client projects. Take analytical objectives and define data requirements....,Data Scientist - P,Chicago,L
"Technical Options, Inc","The Quantitative Analyst will work closely with other team members, business users and IT colleagues to implement models for pricing and risk management of",Quantitative Analyst,Chicago,L
American Dental Association,Data analysis experience based on statistical software. Understand the needs of the ADA members and translate their expectations to hypothesis that will support...,Research Scientist,Chicago,L
Mintel,"Commercially driven with a talent for seeing the patterns behind data, and understanding what these patterns mean from a business standpoint....",Research Analyst - Lifestyle & Leisure,Chicago,L
